timestamp_s,frame_fresh,course,episode_id,teacher_phase,command_source,last_gate_passed,next_gate_index,mode,confidence,bearing_h_rad,bearing_v_rad,distance_m,pixel_x,pixel_y,apparent_size_px,gate_age_s,body_forward_elevation_rad,body_vx_m_s,body_vy_m_s,body_vz_m_s,prev_roll_rate_rad_s,prev_pitch_rate_rad_s,prev_yaw_rate_rad_s,prev_thrust_norm,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,thrust_norm,teacher_roll_rate_rad_s,teacher_pitch_rate_rad_s,teacher_yaw_rate_rad_s,teacher_thrust_norm,teacher_target_x_m,teacher_target_y_m,teacher_target_z_m,teacher_next_gate_index,teacher_next_gate_x_m,teacher_next_gate_y_m,teacher_next_gate_z_m,teacher_next_gate_yaw_deg,teacher_heading_rate_rad_s,teacher_world_vx_m_s,teacher_world_vy_m_s,teacher_world_vz_m_s,teacher_world_ax_m_s2,teacher_world_ay_m_s2,teacher_world_az_m_s2,world_x_m,world_y_m,world_z_m,world_yaw_rad
-0.960000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.980000,0.000000,-0.214877,10.090714,320.000,249.839,85.623,0.000000,0.000000,0.250000,0.000000,1.150000,0.000000,0.000000,0.000000,0.550000,0.000000,-0.030000,0.000000,0.709365,0.000000,-0.030000,0.000000,0.709365,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.250000,0.000000,1.150000,0.150000,0.000000,-0.550000,0.000000,0.000000,0.450000,0.000000
-0.920000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.976943,-0.023057,-0.220869,10.063756,312.620,251.850,85.853,0.000000,0.000000,0.273913,-0.054634,1.100000,0.000000,-0.030000,0.000000,0.709365,-0.017213,-0.032174,-0.026516,0.708949,-0.017213,-0.032174,-0.026516,0.708949,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.274492,-0.051647,1.100000,0.149991,0.001634,-0.550000,0.019565,0.121409,0.513391,0.010893
-0.880000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.954947,-0.045053,-0.226909,10.038419,305.573,253.883,86.069,0.000000,0.000000,0.297826,-0.105216,1.050000,-0.017213,-0.032174,-0.026516,0.708949,-0.033293,-0.034348,-0.051810,0.708530,-0.033293,-0.034348,-0.051810,0.708530,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.300027,-0.098764,1.050000,0.149965,0.003237,-0.550000,0.039130,0.233813,0.576783,0.021584
-0.840000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.935058,-0.064942,-0.232986,10.014134,299.189,255.935,86.278,0.000000,0.000000,0.321739,-0.147994,1.000000,-0.033293,-0.034348,-0.051810,0.708530,-0.047175,-0.036522,-0.074683,0.708107,-0.047175,-0.036522,-0.074683,0.708107,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.326292,-0.137666,1.000000,0.149924,0.004780,-0.550000,0.058696,0.328876,0.640174,0.031872
-0.800000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.918185,-0.081815,-0.239093,9.990131,293.761,258.002,86.485,0.000000,0.000000,0.345652,-0.179797,0.950000,-0.047175,-0.036522,-0.074683,0.708107,-0.057954,-0.038696,-0.094087,0.707683,-0.057954,-0.038696,-0.094087,0.707683,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.352825,-0.165278,0.950000,0.149870,0.006233,-0.550000,0.078261,0.399548,0.703565,0.041567
-0.760000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.905048,-0.094952,-0.245219,9.965658,289.524,260.082,86.698,0.000000,0.000000,0.369565,-0.198265,0.900000,-0.057954,-0.038696,-0.094087,0.707683,-0.064948,-0.040870,-0.109195,0.707256,-0.064948,-0.040870,-0.109195,0.707256,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.379100,-0.179362,0.900000,0.149809,0.007570,-0.550000,0.097826,0.440588,0.766957,0.050487
-0.720000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.896136,-0.103864,-0.251362,9.940208,286.643,262.174,86.920,0.000000,0.000000,0.393478,-0.202028,0.850000,-0.064948,-0.040870,-0.109195,0.707256,-0.067745,-0.043043,-0.119444,0.706828,-0.067745,-0.043043,-0.119444,0.706828,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.404611,-0.178690,0.850000,0.149744,0.008765,-0.550000,0.117391,0.448951,0.830348,0.058467
-0.680000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.891678,-0.108322,-0.257523,9.913664,285.201,264.279,87.152,0.000000,0.000000,0.417391,-0.190808,0.800000,-0.067745,-0.043043,-0.119444,0.706828,-0.066233,-0.045217,-0.124570,0.706399,-0.066233,-0.045217,-0.124570,0.706399,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.428962,-0.163140,0.800000,0.149680,0.009797,-0.550000,0.136957,0.424017,0.893739,0.065358
-0.640000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.891638,-0.108362,-0.263706,9.886337,285.188,266.398,87.393,0.000000,0.000000,0.441304,-0.165436,0.750000,-0.066233,-0.045217,-0.124570,0.706399,-0.060603,-0.047391,-0.124616,0.705968,-0.060603,-0.047391,-0.124616,0.705968,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.451933,-0.133699,0.750000,0.149622,0.010646,-0.550000,0.156522,0.367636,0.957130,0.071031
-0.600000,1,easy,easy:launch,launch,teacher,-1,0,detected,0.895719,-0.104281,-0.269920,9.858879,286.509,268.535,87.637,0.000000,0.000000,0.465217,-0.127795,0.700000,-0.060603,-0.047391,-0.124616,0.705968,-0.051341,-0.049565,-0.119923,0.705534,-0.051341,-0.049565,-0.119923,0.705534,5.000000,0.000000,1.800000,0,10.000000,0.000000,1.800000,0.000000,0.000000,0.473520,-0.092397,0.700000,0.149574,0.011296,-0.550000,0.176087,0.283990,1.020522,0.075381
